gene_name	p-val
CG16989	2.652276516297146e-08
retm	2.7880539404105693e-08
CG10326	2.8103467770648257e-08
CG13907	2.9686777330205e-08
Idh	3.039700536587559e-08
Akt1	3.1695312808086485e-08
GstD3	3.288720817166295e-08
bib	3.30419204841396e-08
brat	3.4324171514453734e-08
Rpb5	3.959172460954615e-08
CG4658	4.122652826290166e-08
CG1662	4.23698594396375e-08
CG1218	4.2528126636107485e-08
CG5150	4.317362727494762e-08
CG14317	4.601185558943788e-08
Toll-6	4.9122648018188705e-08
CG6180	5.228938460093373e-08
CG17019	5.531544351702103e-08
cN-IIIB	5.682029175551736e-08
Aats-tyr	5.710839866718093e-08
Rpn8	5.911676147333165e-08
CG9953	5.915357548557362e-08
CG5569	5.948364665039371e-08
png	6.580861792124406e-08
CG12054	7.070541521984566e-08
Pmm45A	8.041588475260436e-08
lost	8.124242120649256e-08
Gapdh1	8.252324086877245e-08
roX1	8.584168684648937e-08
aret	8.615785096318527e-08
CG14937	9.041991995313293e-08
CSN7	9.688953633112813e-08
CG2100	9.7119689238034e-08
slmb	9.940192047050966e-08
CG7712	1.0075337690298805e-07
CG3011	1.014337974264786e-07
mtrm	1.0372874201674537e-07
Swip-1	1.055171806409537e-07
Csat	1.0802092004013455e-07
CG17556	1.0823752516890584e-07
CG6015	1.1326309829606673e-07
CR43949	1.1463164623338916e-07
CG3016	1.1667596064303347e-07
CG14977	1.3359125127287667e-07
CG3192	1.3759634746355358e-07
sna	1.3767870022843247e-07
Scm	1.378127779785253e-07
pont	1.3951767465433957e-07
btz	1.4066390829831447e-07
GlcT-1	1.457877626794222e-07
stg	1.5248533328038354e-07
ade2	1.6238089112092076e-07
CG34224	1.7020649810959411e-07
CG13631	1.7165359137606983e-07
Opa1	1.8012205360304652e-07
E(spl)m7-HLH	1.882218384138383e-07
O-fut1	1.910086667989444e-07
Pi3K21B	2.0315467289232877e-07
Hlc	2.0343625600777796e-07
wus	2.04388226442891e-07
croc	2.0513615321961917e-07
mRpS29	2.0668028765913124e-07
kin17	2.134176708637187e-07
CG33671	2.22560124211148e-07
CG32676	2.2302279226209874e-07
kni	2.2707112861938514e-07
btd	2.2833612257603895e-07
CG12081	2.332229756173189e-07
Neos	2.3377080531234492e-07
Tsp66E	2.3486045017372372e-07
CG4433	2.5648379979377665e-07
Catsup	2.624985999970997e-07
hyx	2.648482419585527e-07
Dlc90F	2.6837840239212617e-07
Ent2	2.7702121998391803e-07
Rop	2.8265623362441714e-07
zuc	2.8400302948732106e-07
IntS11	2.955373725747663e-07
Prx3	3.0184060485403323e-07
CG6752	3.0927752547808953e-07
fzy	3.1697527041063587e-07
CG9140	3.2021846965005797e-07
Crtc	3.2952422382958377e-07
Bx42	3.4484485777251173e-07
CG16812	3.473805573432713e-07
Arp6	3.5048894172768456e-07
Aats-ser	3.629377749518636e-07
l(1)G0156	3.6752111212005115e-07
Ts	3.728071244585118e-07
Cat	3.7869386434239745e-07
CG5098	3.78973868371749e-07
gt	4.043323170060435e-07
CG18262	4.1321896823588433e-07
Tim8	4.172081525087106e-07
spas	4.406413351121272e-07
CG1291	4.416793963158489e-07
CG1532	4.5374075982200756e-07
Cyp6t1	4.6451326986224224e-07
Tom	4.66546847842741e-07
CG5525	4.757912539333886e-07
AdenoK	4.763718228717074e-07
MAGE	4.827278622087551e-07
Sirup	4.831281094703848e-07
CG7029	4.839446969996839e-07
Trip1	4.858020376875276e-07
Hsc70-5	5.055802654388674e-07
Aats-gln	5.059841941490802e-07
CG11267	5.130740573648067e-07
CG10915	5.256284368409193e-07
Int6	5.283690480176467e-07
rho	5.478141547283351e-07
CG11781	5.641959160356694e-07
l(3)01239	5.642370178101185e-07
cyc	5.684403165981236e-07
CG9505	5.776126040920211e-07
Act42A	6.131540470313601e-07
gammaTub23C	6.58227745501528e-07
p24-1	7.078573414461411e-07
CG8188	7.161936880128793e-07
Top3beta	7.353019617408671e-07
l(2)35Bd	7.408005829177895e-07
FK506-bp1	7.911773309731561e-07
Srp68	8.015823223675045e-07
CG8273	8.017245153026652e-07
BI-1	8.055271195455121e-07
Torsin	8.158929306251539e-07
noc	8.287908815191898e-07
CG14427	8.328519385521592e-07
Nnf1a	8.510876120576895e-07
par-1	8.511427574357109e-07
CG15479	8.789642635459266e-07
Npl4	8.843079740609808e-07
Br140	9.043430733344639e-07
Sply	9.069045270236536e-07
CG7974	9.469656411609751e-07
Smu1	9.495329634114707e-07
CG12343	9.543507562704066e-07
CG30389	9.581582472705523e-07
CG18266	9.587675506286978e-07
CG14852	9.743414706459429e-07
CG2063	9.748940574441135e-07
CG5880	9.942286170996294e-07
ftz	1.0065384154384384e-06
CG30377	1.0276623958480708e-06
CG6885	1.044137148739962e-06
CG12034	1.075604777707384e-06
cib	1.0764353177451714e-06
Bsg25A	1.0839111134753133e-06
CG6364	1.1140598127776554e-06
CSN1b	1.1149739311981402e-06
tst	1.1264997541392485e-06
fu12	1.129099488589819e-06
CG30496	1.130509766695214e-06
nsl1	1.1515201806763436e-06
abs	1.1968695253503875e-06
Ocho	1.2501818399931908e-06
E(spl)malpha-BFM	1.2572918253072442e-06
skl	1.319678588260311e-06
Nrt	1.3395604333387952e-06
CG9641	1.342942397725883e-06
Alr	1.3484483759050508e-06
atms	1.3599354723493325e-06
Lsd-2	1.3705947283357166e-06
phol	1.3728206515416537e-06
CG14286	1.3869298099664782e-06
RpS27A	1.464721823505535e-06
CG2974	1.4706165142218876e-06
CG8498	1.4791648185479941e-06
Prp19	1.4801176052601848e-06
Mvl	1.5081601517276487e-06
mRpS9	1.535513221730972e-06
CG4038	1.55450058561712e-06
CG31637	1.5653311175238771e-06
barr	1.566013895970412e-06
Usf	1.591289156424152e-06
enc	1.6026268748776595e-06
CG4645	1.699507410613413e-06
Pgd	1.711461361440132e-06
tal-AA	1.7208612251649228e-06
tal-1A	1.7208612251649228e-06
tal-2A	1.7208612251649228e-06
tal-3A	1.7208612251649228e-06
CG15480	1.7521357128597582e-06
CG3560	1.7978841274572285e-06
CG4447	1.8062742080376445e-06
CycC	1.8421014315051856e-06
fs(1)Ya	1.8611460191234671e-06
CG12024	1.8653567969305592e-06
CG14043	1.909549933702812e-06
h	1.958973499070948e-06
CREG	1.9892063143000112e-06
fu2	1.9977239864404884e-06
CG14621	2.0219020599468046e-06
CG1620	2.025269362342434e-06
CG14641	2.027652811935778e-06
CR43887	2.0693760151977237e-06
DLP	2.101145852051332e-06
CG33156	2.142630099351225e-06
mbo	2.1493538388249933e-06
PyK	2.166681154410524e-06
CG17162	2.2102827681659333e-06
tsg	2.215588062105892e-06
CR44764	2.286688780539026e-06
CG9240	2.295304083251067e-06
mahj	2.3030743285532147e-06
Art4	2.3365576169101176e-06
Prp18	2.3468821616079963e-06
CG11077	2.4232931294697608e-06
Ada1-1	2.4267123180654795e-06
Fur2	2.475361284206875e-06
rpr	2.478011830391138e-06
CG14715	2.50821142265827e-06
CG6428	2.5147398043913193e-06
PSR	2.552628733558227e-06
mtacp1	2.609290132259812e-06
Pdxk	2.673211931506779e-06
mRpL11	2.757020799517671e-06
Taf10b	2.8092659826877475e-06
tws	2.8338208860822084e-06
dpn	2.8439493011346787e-06
CG11885	2.855264674486521e-06
SmG	2.8794433824933365e-06
APP-BP1	2.886601682014864e-06
rho-7	2.94344033298814e-06
slpr	2.9531495441141096e-06
CG43340	2.967649306225986e-06
CG32732	3.105472667663522e-06
CG33090	3.1167315314379604e-06
CR43432	3.123987069971453e-06
CG7006	3.1728153766754035e-06
CG13298	3.172846805412018e-06
CG10418	3.200631055359645e-06
Cf2	3.2150958086975384e-06
CG18343	3.2239573793975478e-06
N	3.2842809429743693e-06
E(spl)m4-BFM	3.2906280328330865e-06
Cdc6	3.3210028433896926e-06
Ef1beta	3.3408405294679258e-06
CG9253	3.4301076850380917e-06
sisA	3.4841313188359903e-06
CG11127	3.498078873683661e-06
Syx18	3.517326345507777e-06
Prp38	3.520855175443992e-06
CG32708	3.601101377334756e-06
CG8036	3.6480888822242862e-06
alphaSnap	3.7052736193584928e-06
Arp5	3.7550752195297423e-06
Gasz	3.7570331067974377e-06
AP-2alpha	3.782674897247336e-06
RhoGAP68F	3.8049801664771458e-06
Bap60	3.828733712043631e-06
Dlic	3.848200592125241e-06
CG9394	3.964396563795005e-06
Pen	3.969717050105631e-06
CG8786	4.010260432501669e-06
snf	4.052030471615387e-06
CG7818	4.053295942583797e-06
ana2	4.061014821431564e-06
CG8207	4.077726994111123e-06
CG6966	4.133415209259698e-06
Tfb5	4.1771538289854e-06
Try29F	4.2356894680085485e-06
CR45266	4.301753774697181e-06
tgo	4.44699368323617e-06
Vha100-2	4.466783896414067e-06
Rel	4.502129679499147e-06
olf186-M	4.587121668654099e-06
mRNA-cap	4.589856787176502e-06
snmRNA:158	4.7540155256419095e-06
tll	4.761363543679389e-06
CG13741	4.76720480355268e-06
CstF-50	4.857378271233127e-06
CG9548	4.925319754347562e-06
Cdk9	4.937998861500706e-06
CoVIII	4.942785565630917e-06
PebIII	4.9990431501002954e-06
CG8680	5.009680444572097e-06
CG3776	5.030089335418761e-06
CG2263	5.075167647083605e-06
blot	5.08523649388288e-06
Prosbeta2	5.131812140406766e-06
iPLA2-VIA	5.2197538610329595e-06
C1GalTA	5.2309370152144665e-06
dbe	5.259334881837856e-06
gk	5.313761128472579e-06
Xbp1	5.55228968294072e-06
RpL21	5.589709795642363e-06
scf	5.72788821095767e-06
mRpS21	5.764533954432327e-06
pre-lola-G	5.830334361996537e-06
CG12659	5.843440400974758e-06
CG12236	5.9204762935832506e-06
Ublcp1	6.085972182416612e-06
Srp54k	6.091785905074467e-06
e(y)2	6.272039196203636e-06
CG33155	6.277282417855019e-06
CG18870	6.310938317715488e-06
CG6066	6.35855134562453e-06
CG4702	6.477084971859706e-06
CG17786	6.6489038017830825e-06
CG16753	6.672466098812304e-06
CG7603	6.706410285303222e-06
fdl	6.754340689370732e-06
Oscp	6.793697686723901e-06
Klp10A	6.796336801352403e-06
CG12909	6.806971471693614e-06
cathD	6.843812257620645e-06
l(2)k10201	6.887361149785345e-06
slp1	6.895959222893845e-06
Rpt2	6.906819038782219e-06
CD98hc	6.9409462004094555e-06
Rpn12	6.97726027684621e-06
CR45350	6.992628878085118e-06
CG10341	7.021749955267412e-06
lace	7.086318035497024e-06
Smox	7.274477374266389e-06
Bap55	7.332977668593288e-06
eIF-4E	7.337680990665857e-06
Mcm7	7.369675089491221e-06
CG7275	7.424396423322393e-06
CG31917	7.467733074595784e-06
Chrac-14	7.648690790026635e-06
CG15643	7.65729769611874e-06
run	7.762013630066456e-06
Spase12	7.894565985046913e-06
Sin1	7.986497605055293e-06
Pex19	8.016208128137021e-06
Aos1	8.029516431724626e-06
srl	8.151008884138913e-06
CG10306	8.210102416991657e-06
CG8860	8.21662724749041e-06
Fdh	8.727115510781983e-06
CG6276	8.743280343483192e-06
veli	8.755095098433146e-06
CG9951	8.894498294889032e-06
CG5861	9.019002625424725e-06
CG30161	9.177775522436476e-06
CG8258	9.255669798713303e-06
CG14516	9.352121910885471e-06
dnt	9.503935120606258e-06
CG14442	9.586921899596433e-06
Galphai	9.731761535721765e-06
Pepck	9.77733333422685e-06
Mlc-c	9.910812582018953e-06
blw	9.915758987901807e-06
GstE6	1.0064809307839986e-05
CG11474	1.0270097950399729e-05
mRpL53	1.0376095823149945e-05
RpL39	1.0416544865472737e-05
mbf1	1.0455849300090685e-05
CG12736	1.047305086726785e-05
Su(fu)	1.0489949688838704e-05
Met	1.0555216983503628e-05
CG11190	1.068223929381233e-05
Non3	1.0749298465571228e-05
Atg3	1.0774943287370374e-05
halo	1.0995465738787933e-05
ox	1.1109484585744288e-05
CG2658	1.1114280397600835e-05
crp	1.1168024860872621e-05
CG8525	1.1192728725741521e-05
CG5642	1.1262129928909718e-05
CG15141	1.1264341961344706e-05
CG12163	1.1272611093868265e-05
CG6455	1.1312274480970866e-05
CG43759	1.1335382182995917e-05
CG3223	1.1458167705556752e-05
CG45087	1.1522562072350139e-05
CG9945	1.1545595980437783e-05
fog	1.1713669120549647e-05
wcd	1.1722191481524085e-05
CG5742	1.1733427601183653e-05
CG1523	1.1831519471501865e-05
CG7766	1.1929339318572474e-05
Cbp20	1.1937310499802975e-05
egg	1.194842570523416e-05
trbl	1.1948568975424021e-05
usp	1.1990893557598892e-05
Hph	1.2395378064185348e-05
MED7	1.2659022334295217e-05
ana1	1.29450997510238e-05
CG5412	1.3271021827199432e-05
mio	1.3338469798695092e-05
Chrac-16	1.3346320912090435e-05
ptr	1.335431767798391e-05
Aef1	1.3379492365561727e-05
TfIIFalpha	1.3424919835097222e-05
Sr-CII	1.346327393814571e-05
RpL36A	1.3475627948520954e-05
ppan	1.358128969904857e-05
CG10877	1.3673012522813501e-05
Gclc	1.394453590566438e-05
Arpc4	1.4076300125572986e-05
opm	1.4099895286560682e-05
RpS23	1.4143728128606098e-05
CG10133	1.415120165011003e-05
Nup50	1.4158123054438645e-05
Nxf3	1.4378479813828408e-05
Rpd3	1.4392320355608844e-05
grim	1.4474967248139853e-05
CG9350	1.4644117202999426e-05
MED10	1.4645591900848348e-05
asparagine-synthetase	1.4914283740695364e-05
RpII18	1.4952615176942597e-05
CG11577	1.499438029795849e-05
fabp	1.5067192756015122e-05
Rpb4	1.5448912055890432e-05
CG7878	1.5567689695622647e-05
CG11808	1.558937400161904e-05
aurB	1.5694829180361978e-05
TfIIFbeta	1.588154725514594e-05
zen	1.5952142681196498e-05
CG7288	1.64137129581411e-05
CG5339	1.6559241241383713e-05
Sgt	1.6691939811596746e-05
CG10053	1.6820078366091138e-05
Fip1	1.692752136837946e-05
RpS20	1.710866153038452e-05
Nak	1.7253315488628727e-05
Mfap1	1.7295013180495594e-05
CG4538	1.7370642097291923e-05
CG5888	1.740523145760651e-05
SKIP	1.74091117232162e-05
danr	1.7417050685866612e-05
CG8004	1.769308984338987e-05
Spp	1.7729551053072953e-05
Rgl	1.7762445712883394e-05
CG9107	1.8000478462514594e-05
MED9	1.805735500790219e-05
borr	1.8404852545978938e-05
CG3918	1.848604307104936e-05
vnd	1.857540993851786e-05
Prp31	1.8597163970097457e-05
CG12290	1.8761740303258493e-05
Sse	1.88894683663132e-05
nos	1.9070494617670953e-05
CG5261	1.9252314272233117e-05
CG4364	1.9459691827975314e-05
CG45100	1.9600293018686584e-05
CG14231	1.962120229252374e-05
TfIIA-S	1.9785682394759936e-05
CG17593	1.9838702257578683e-05
Uba2	1.9863619428436247e-05
CG5273	1.991579517871121e-05
CG11382	1.9956272435615463e-05
CG42762	1.9981166670730942e-05
CG15356	2.0019507813432715e-05
fal	2.018482853527466e-05
CG3831	2.0280740053776255e-05
CG7054	2.0421644083886265e-05
eIF-2alpha	2.046271583860464e-05
thoc5	2.0589367873842502e-05
CG12420	2.0647360484706048e-05
Atx2	2.0668246846433064e-05
E(spl)m8-HLH	2.0684208476825054e-05
CG5913	2.0790582864387278e-05
HPS1	2.083051423513581e-05
Sry-alpha	2.1092749160294215e-05
Snr1	2.111751205326034e-05
CR44718	2.138376369056432e-05
glec	2.1629996781415243e-05
muskelin	2.1666199392537335e-05
CG33303	2.1671256296404008e-05
wls	2.179427081800741e-05
CG2611	2.194487425263207e-05
CG1529	2.2234407610424333e-05
pen	2.2467154525800145e-05
CG4500	2.248763405069615e-05
crok	2.2600403989460134e-05
CG7453	2.333536443801696e-05
MED27	2.3569409303924752e-05
gammaCOP	2.3696625168067218e-05
CG5641	2.3728588959085583e-05
Rsf1	2.4281714326617168e-05
RpS18	2.511731471151139e-05
tsu	2.5236115147587446e-05
CG12948	2.5241463837167288e-05
YL-1	2.534619310984301e-05
rush	2.5563110302119468e-05
mir-4971	2.5595648713731155e-05
ald	2.5626427217041303e-05
mir-4941	2.5715586651521643e-05
CG5510	2.6015245371595093e-05
MED20	2.6280046381497397e-05
Aats-val	2.6497835381492538e-05
Als2	2.6531115097781207e-05
prd	2.6949850591590183e-05
CG17680	2.6972616223566446e-05
olf186-F	2.712970762147931e-05
Ubi-p5E	2.7156401473030864e-05
Cisd2	2.729272064764754e-05
CG17776	2.7350314656331238e-05
Blm	2.745071652934422e-05
Hdac3	2.752362769794244e-05
CG5010	2.8364214056614757e-05
CG13751	2.8409015085721096e-05
Drice	2.851476309897514e-05
CG1924	2.8985453367276935e-05
CG6028	2.9083490897408138e-05
CG13601	2.924424072896043e-05
DnaJ-H	2.9559230415625354e-05
Zip48C	2.965478301196828e-05
dap	2.9662512936637482e-05
wun2	2.9850065642335806e-05
CG5746	3.0013566598781875e-05
CG2260	3.0415511507641218e-05
eIF3-S8	3.063616551699611e-05
mRpL12	3.0756349771956124e-05
PrBP	3.092332049355215e-05
Nop56	3.1319131484163404e-05
Gnf1	3.177679971356921e-05
CG5262	3.181193093394295e-05
CG34200	3.312713715395587e-05
Reph	3.377291402386066e-05
CG5532	3.382669856215819e-05
CG12125	3.395066206205468e-05
CG7033	3.39710714727764e-05
CG8435	3.454839451804424e-05
CG16815	3.460007119911131e-05
eIF4AIII	3.46772213820146e-05
Prosbeta6	3.4723241951590036e-05
CG4452	3.487864491394624e-05
CG1847	3.547317144550417e-05
Ppcs	3.5858360643896916e-05
IntS4	3.631002710644509e-05
crn	3.6710366224974526e-05
Vha68-2	3.682765127410425e-05
cdi	3.6837119447564876e-05
Sep2	3.702875762773854e-05
Jwa	3.7110206347360526e-05
Cyp6v1	3.716892346149222e-05
nmdyn-D6	3.7761458236172185e-05
CG9086	3.842777275086575e-05
vito	3.844831143970368e-05
CG8929	3.883994766922997e-05
CSN4	3.8842988383769074e-05
CG17904	3.936780436553928e-05
RanGAP	3.9502520010151844e-05
CG7519	3.9555118854561464e-05
CG8209	3.969398558224545e-05
RpII33	3.986904824804472e-05
Rpt6	4.0089846299635285e-05
Pmi	4.0382454096506823e-05
NitFhit	4.09141317734907e-05
CR45559	4.097043584386529e-05
CG10222	4.1329015523790014e-05
noi	4.235461902728859e-05
bs	4.2494735135653195e-05
Ada1-2	4.273200515043322e-05
Ciao1	4.2795825635491506e-05
PCID2	4.3026847375129704e-05
CG30109	4.3206228604321826e-05
CG11882	4.342055371835974e-05
Gbeta5	4.468540687558629e-05
Ost48	4.482763472123249e-05
ImpE2	4.4852858486722035e-05
CG14683	4.485858345806558e-05
phyl	4.493787263307444e-05
srw	4.542846967870137e-05
wapl	4.5924465941257944e-05
CG2789	4.5951450011898054e-05
nudC	4.612494925298799e-05
CR44898	4.624195303252737e-05
l(2)k12914	4.724431682127609e-05
Klp3A	4.796174222486774e-05
SdhA	4.8232530967949196e-05
CG2812	4.8434585808267405e-05
Rpt5	4.8785590476407266e-05
CG8087	4.908847299136559e-05
Hsp23	4.934591377430634e-05
Hpr1	5.012873715475064e-05
18w	5.02607143910427e-05
SmF	5.044416278202054e-05
CG12400	5.0573337164788105e-05
CG11927	5.065259394701467e-05
RpL40	5.065281858407069e-05
ZnT86D	5.0909584759154296e-05
cbc	5.2910714252491157e-05
GstT2	5.296351142189535e-05
Pcmt	5.3047217096851566e-05
CG17122	5.322570886757122e-05
CG4078	5.3582169795146736e-05
CG12018	5.3681297992799866e-05
CG11563	5.3818261226597007e-05
CG8602	5.4017606279573333e-05
Leash	5.4162075799387506e-05
Hip14	5.418021677289918e-05
zpg	5.451204052680601e-05
CG43184	5.4573262227905115e-05
ksr	5.461684717434166e-05
phr6-4	5.463236595031699e-05
CG7845	5.477421397316304e-05
CG5854	5.5024032702162844e-05
CG7857	5.5167016066344715e-05
NUCB1	5.565102407434209e-05
CG14036	5.5748661367204914e-05
cbt	5.621907127756712e-05
RpS25	5.652099476982878e-05
CG13366	5.6653026730271196e-05
CG15735	5.6750830006611784e-05
Non2	5.7595779590017724e-05
CG10898	5.7629007595842615e-05
Trc8	5.7976426878993934e-05
CG17982	5.8241896642973994e-05
CG5844	5.839642327512465e-05
ImpL1	5.882264799452347e-05
CG5056	5.892583881918568e-05
CR41501	5.912856096551713e-05
CG7772	5.999415957693759e-05
CG44242	6.0792013137556605e-05
mRpL51	6.088519266359797e-05
CG34348	6.14286591070208e-05
CG5181	6.158726267391625e-05
CG4612	6.164901783962757e-05
CG1434	6.226964045535673e-05
c12.1	6.282880343026457e-05
Slu7	6.306372959166343e-05
Taf10	6.333325738114813e-05
CG10139	6.335487132630519e-05
cl	6.335701124409091e-05
Rca1	6.378240276150955e-05
GstS1	6.38669026830059e-05
CG7889	6.432078485668754e-05
CG15432	6.508652470139416e-05
MFS10	6.53354619161485e-05
CG12721	6.62440045251599e-05
rept	6.635271412756411e-05
CG14971	6.676188710488836e-05
RpLP0-like	6.678537985009819e-05
Ac78C	6.724373113955162e-05
CaBP1	6.743446479641588e-05
CG7277	6.75479381462752e-05
CG10674	6.774495774016939e-05
bcd	6.835898650638704e-05
CG5021	6.900728635813673e-05
CG1764	6.941183316704915e-05
Tango10	6.970904300791883e-05
CG9921	7.026258774541047e-05
CG7637	7.027423610086008e-05
Myt1	7.032717491594873e-05
CG7101	7.040553719615781e-05
CR44504	7.089172337221884e-05
S6kII	7.111652024097252e-05
l(2)37Ce	7.112511380771204e-05
rump	7.135936953759206e-05
l(2)35Be	7.152722880711977e-05
CTPsyn	7.169218798035388e-05
CG6178	7.23278042537291e-05
GC1	7.264073635614012e-05
Edem2	7.275229493330564e-05
CG8778	7.37902669266692e-05
hbn	7.408236712536112e-05
CG5377	7.417630280778678e-05
128up	7.439268028406159e-05
wge	7.448312768966922e-05
CG7987	7.487569724930024e-05
CG10688	7.488957102532457e-05
CG2662	7.560482364331474e-05
CG3939	7.578265170631069e-05
trbd	7.581794291628145e-05
CG8939	7.582146764931634e-05
eve	7.585304774550958e-05
CG7650	7.632795956286278e-05
CG42365	7.664986458319793e-05
fax	7.711451808090254e-05
CG12325	7.728105576711594e-05
Nelf-E	7.778358769017843e-05
CG30152	7.786176829139598e-05
odd	7.791795568133017e-05
CG1749	7.839338664039888e-05
Neu2	7.86492361812673e-05
CG42593	7.883469924630685e-05
casp	7.91126985623385e-05
rdx	7.967778240099809e-05
CG2453	8.023371595881468e-05
CG1792	8.07766464688788e-05
