gene_name	p-val
CG15891	3.4489762825563345e-08
Cys	3.518097930843866e-08
egr	3.628092387457033e-08
Akt1	3.667210365003852e-08
brk	3.678086855072012e-08
CG32103	3.799278886263859e-08
CG45099	4.066911086731729e-08
CR44676	4.194893301274225e-08
CG11007	4.246083010738873e-08
Amnionless	4.421070853993835e-08
CG16989	4.525950689879807e-08
CG17019	4.68454837507887e-08
brat	4.783776829564983e-08
CG10326	4.8059487091043006e-08
CG13907	4.887617643930875e-08
Idh	4.9769774212965566e-08
CG17249	5.217886021772831e-08
mip40	5.24612667567656e-08
CG4658	5.294706918038051e-08
bib	5.5453914547667145e-08
CG1218	5.644058816138215e-08
Toll-6	6.279403808955549e-08
CG1662	6.397039362352106e-08
Rpb5	6.486300738942196e-08
Bx	6.935741408230299e-08
CG5150	6.977825180332506e-08
GILT2	7.65195600195375e-08
CG3016	8.180490065479786e-08
CG12054	8.252221410972237e-08
roX1	8.47838959647072e-08
Rpn8	8.888166055744513e-08
GstD3	1.0213537418799908e-07
CG14317	1.0653099743663064e-07
Gapdh1	1.0850355389435922e-07
CG3011	1.1353637312582764e-07
slmb	1.2526238902180587e-07
Hlc	1.3624967524954721e-07
Csat	1.3826461563285067e-07
Opa1	1.4857416851526324e-07
CG2100	1.5897920730220822e-07
CG7712	1.647536212440851e-07
CG17556	1.6850813375251344e-07
Swip-1	1.700973681967651e-07
Scm	1.7169886234029147e-07
cN-IIIB	1.7393756218932757e-07
Aats-tyr	1.7474983301850386e-07
CG9953	1.7923227578309516e-07
CG5569	1.8146957868421892e-07
btz	1.8907857521044196e-07
CG32676	1.9486991539544223e-07
CG3192	1.9529589115383228e-07
png	1.9912685622411792e-07
CG14977	2.1269763472147962e-07
ade2	2.2241218806258728e-07
Pmm45A	2.30014343592855e-07
CSN7	2.3490621499083652e-07
lost	2.369682608147386e-07
stg	2.4688260137792853e-07
aret	2.52746505995675e-07
CG14937	2.649696992090629e-07
Pi3K21B	2.7097289354535084e-07
CG13631	2.7397129892401507e-07
noc	2.8533461353350564e-07
CG12081	2.8609940076736393e-07
mtrm	2.897762403685789e-07
CG30389	2.9286077279003836e-07
CG9140	2.937829841165955e-07
O-fut1	2.9921580858803985e-07
wus	3.079468906055443e-07
CG6015	3.2800653347880105e-07
CG6364	3.2975533427328345e-07
Ent2	3.3046786280717925e-07
CR43949	3.310714966046791e-07
Bx42	3.4240573940588433e-07
pont	3.4904791896004057e-07
Tsp66E	3.5035131918336874e-07
kni	3.5073175119032954e-07
sna	3.5270275129977904e-07
CG33671	3.561138019290212e-07
btd	3.6768574316253773e-07
Neos	3.7313892748595375e-07
CG6752	3.790976406103822e-07
GlcT-1	4.016062952798347e-07
CG4433	4.055539270623853e-07
kin17	4.1522335712139945e-07
CG1532	4.245335395574453e-07
p24-1	4.2464089740345545e-07
Crtc	4.3784582112994655e-07
Rop	4.4590157108351424e-07
E(spl)m7-HLH	4.6289856780418985e-07
CG34224	4.7678136400023133e-07
Hsc70-5	4.895022326372781e-07
mRpS29	4.919431327447467e-07
CG5098	4.964686367389706e-07
h	5.133062201014392e-07
Tim8	5.229742827765051e-07
Aats-ser	5.279516117537501e-07
CG7029	5.492248325454672e-07
gt	5.621317570089444e-07
l(1)G0156	5.635752886686294e-07
croc	5.734129885875175e-07
Ts	5.786044239352871e-07
Prx3	6.540121414884221e-07
hyx	6.545696437620604e-07
spas	6.892297577571425e-07
Dlc90F	6.940127881217026e-07
AdenoK	6.976276554934561e-07
Catsup	7.086527393756389e-07
zuc	7.15121436238186e-07
Sirup	7.308040084325853e-07
IntS11	7.528391318769082e-07
fzy	8.124607187908287e-07
l(3)01239	8.175258932472533e-07
CG10915	8.17749432480806e-07
rho	8.287163426241712e-07
CG16812	8.395690667426593e-07
par-1	8.509106772522375e-07
CG8188	8.704883284530765e-07
Tom	8.794360159661069e-07
CG1291	9.295496970904673e-07
Arp6	9.369554288552562e-07
Rel	9.62482822934082e-07
CG18262	1.0028177816779423e-06
Cat	1.0122762730915616e-06
Cyp6t1	1.0467405572002878e-06
CG8273	1.0540792798524477e-06
CG11781	1.0582013999580506e-06
MAGE	1.0673556912748245e-06
Npl4	1.1170897769302836e-06
Top3beta	1.1264878074754342e-06
Aats-gln	1.2146663560842253e-06
Torsin	1.2391605812882483e-06
CG5525	1.2458636145924766e-06
rho-7	1.2613754811680124e-06
Trip1	1.2775602787019402e-06
phol	1.2776565368949038e-06
CG11267	1.302824744005651e-06
gammaTub23C	1.3446115666429194e-06
Pgd	1.3526945070831245e-06
Sply	1.3546941283049715e-06
Br140	1.3784288165312238e-06
Int6	1.3785118358506717e-06
CG7974	1.4448722361893178e-06
cyc	1.4751024046656573e-06
nsl1	1.4865012604484421e-06
tst	1.4918067885995527e-06
CG9505	1.4918767804446704e-06
CG5880	1.5707707232505319e-06
BI-1	1.5729295817741933e-06
Act42A	1.5854328777428138e-06
fu12	1.6004374393905626e-06
snmRNA:158	1.644936289436741e-06
Ocho	1.6865248487118372e-06
Nrt	1.7232029880315769e-06
FK506-bp1	1.728147984360023e-06
CG8498	1.7311936498389986e-06
Lsd-2	1.7675954040002203e-06
CG6885	1.804356579167751e-06
CG4645	1.8663773463258818e-06
l(2)35Bd	1.8734665436442975e-06
CG9641	2.007505538111106e-06
Srp68	2.0304207411102268e-06
CG15479	2.0462705201425285e-06
Usf	2.06851281599999e-06
CG14427	2.08035524729575e-06
CG18266	2.1057954634058173e-06
Nnf1a	2.117116798737037e-06
CG12343	2.2405878316293732e-06
Mvl	2.262982776141508e-06
CG14852	2.2929082719719247e-06
CG1620	2.3069811900550807e-06
Smu1	2.331249779239931e-06
enc	2.346465669281244e-06
CG31637	2.3499860340290607e-06
CG30496	2.3820508283917404e-06
CREG	2.4014173542989557e-06
CG2063	2.439723877081681e-06
ftz	2.491862675095948e-06
CG30377	2.5351592397879142e-06
CG12034	2.5534925693340404e-06
CG17162	2.5906925626422512e-06
Ada1-1	2.6370835110114355e-06
cib	2.662172854734554e-06
Bsg25A	2.6862898339064712e-06
CG2974	2.6956773757084876e-06
CSN1b	2.7605656983414468e-06
CG14621	2.763443780975721e-06
skl	2.8018966137942112e-06
E(spl)malpha-BFM	2.821887034110087e-06
fu2	2.8236475447614276e-06
DLP	2.839792195915954e-06
N	2.850833414218808e-06
mtacp1	2.8845643295493538e-06
abs	2.8998261216273778e-06
mahj	2.9026476281469576e-06
Fur2	2.9467093222118694e-06
CG14286	2.9925738183431657e-06
sisA	3.0041557692961807e-06
CG18343	3.148502495599605e-06
Alr	3.224653220196569e-06
CG4038	3.262545691837973e-06
atms	3.302911736482583e-06
fs(1)Ya	3.413891944196619e-06
Art4	3.4357073858188483e-06
slpr	3.5035595642668832e-06
PSR	3.506439954400182e-06
RpS27A	3.54311225809027e-06
APP-BP1	3.5632317696631277e-06
barr	3.5885924306945235e-06
Prp19	3.59629620148634e-06
tws	3.6321643287380972e-06
CG3560	3.6368362247293222e-06
mRpS9	3.6466412287454657e-06
rpr	3.657252982419646e-06
SmG	3.667808294253403e-06
CG4447	3.792581618516333e-06
CG33156	3.8066726958920062e-06
CG12236	3.913336209730596e-06
dpn	3.949088432587485e-06
tal-1A	3.991769439294819e-06
tal-2A	3.991769439294819e-06
tal-3A	3.991769439294819e-06
tal-AA	3.991769439294819e-06
tsg	4.031331800743116e-06
CG14641	4.087391356776419e-06
CG13298	4.112890217090827e-06
CG32708	4.164203727370738e-06
CG15480	4.2083001259153025e-06
CR43887	4.278287348952436e-06
CG14043	4.305718679400735e-06
CycC	4.382024988608367e-06
CG18870	4.3980665364026126e-06
CR44764	4.400278414760231e-06
CG9394	4.452879957420793e-06
CG12024	4.458066874853763e-06
CG33090	4.524587557084403e-06
mbo	4.63179503456621e-06
CG6966	4.800388046557686e-06
PyK	4.816274044513935e-06
Ef1beta	4.860458826113036e-06
CG8786	4.876994994150661e-06
Dlic	5.025792326111299e-06
CG9240	5.189890129373704e-06
Cf2	5.28270976607119e-06
Arp5	5.3067215374204875e-06
Try29F	5.423138197851992e-06
CG7006	5.447354059956157e-06
Prp18	5.46488507170659e-06
CG11077	5.6480500429663985e-06
CG14715	5.738710869667692e-06
ana2	5.8239232805599125e-06
CG6428	5.883152534442054e-06
mRpL11	5.968020124578368e-06
CoVIII	6.01884580753722e-06
CG11885	6.1226444168387615e-06
Pdxk	6.227067445287183e-06
tgo	6.331004573322899e-06
CG8680	6.3436627837592085e-06
ana1	6.403557369095203e-06
Taf10b	6.511621231632828e-06
CG8525	6.559370154838189e-06
CG43340	6.561929661505751e-06
Cdc6	6.776834441826362e-06
E(spl)m4-BFM	6.807305272696367e-06
alphaSnap	7.014939731075641e-06
CR43432	7.066059468084043e-06
CG32732	7.163272411159663e-06
CG11127	7.163906845076718e-06
CG8207	7.2352988555931295e-06
CG10418	7.364855408345421e-06
AP-2alpha	7.539140718028425e-06
Prp38	7.636735216928326e-06
Syx18	7.735723579826586e-06
Klp10A	7.747653396580408e-06
snf	7.794644965438799e-06
CG8036	7.818241561145382e-06
CG9253	7.828146949139159e-06
Rpt2	7.834620635472453e-06
mRpS21	8.043806470459718e-06
RpL21	8.04950907022505e-06
RhoGAP68F	8.072425456225738e-06
scf	8.218640200425967e-06
CG15643	8.264465902201192e-06
Tfb5	8.328889145281748e-06
Gasz	8.387179989638222e-06
Smox	8.39109414918702e-06
CG7818	8.52146320659927e-06
Pen	8.644381501519546e-06
slp1	8.654258090480101e-06
eIF-4E	8.659585623140589e-06
Bap60	8.665147787072448e-06
dbe	8.693858219890824e-06
lace	9.003575094025824e-06
CG5861	9.17721911025084e-06
CG7603	9.219640410146055e-06
fdl	9.30539799225866e-06
tll	9.447501199896606e-06
CstF-50	9.461975727259871e-06
CG2263	9.50503640647458e-06
Cdk9	9.615856474397712e-06
CR45266	9.641395574101014e-06
pre-lola-G	9.690932873558324e-06
Vha100-2	9.930841665375253e-06
olf186-M	1.0101665375909157e-05
CG14442	1.0181917280472017e-05
mRNA-cap	1.0204950982713342e-05
opm	1.0386774035606855e-05
CG13741	1.0469782008092278e-05
CG3776	1.0549396420730511e-05
Ublcp1	1.0557078231186094e-05
CG9548	1.0919551735552856e-05
PebIII	1.094251016599222e-05
gk	1.105557115243908e-05
CG4702	1.1069796166694486e-05
iPLA2-VIA	1.1124339999657057e-05
blot	1.1307792618287528e-05
Prosbeta2	1.1315318564220605e-05
CG6455	1.138771835908203e-05
C1GalTA	1.1631146056359525e-05
cathD	1.1822331811757464e-05
mbf1	1.2117769421649342e-05
Xbp1	1.222439618201487e-05
CG12659	1.2305787890048202e-05
Met	1.2327999103307359e-05
CG43759	1.2704884078556347e-05
CG33155	1.2760448421320636e-05
CG16753	1.2770729635128633e-05
Pex19	1.3109053648220394e-05
Srp54k	1.3143629204996693e-05
CG10341	1.3404465298777846e-05
dnt	1.3433109337401949e-05
CG17786	1.3515313773113115e-05
Hph	1.354719228786703e-05
CG6066	1.3723419949069912e-05
e(y)2	1.3732116237136203e-05
CG4538	1.4001483635120544e-05
CG11474	1.4475113770676127e-05
CR45350	1.4526896747952487e-05
CG10053	1.4585132880816693e-05
CG12909	1.4769457913646634e-05
Oscp	1.4830907379672305e-05
Bap55	1.4834124525329363e-05
l(2)k10201	1.4925606858224466e-05
CD98hc	1.494553224887544e-05
Chrac-16	1.4961805553422818e-05
CG2658	1.5066270499916241e-05
Rpn12	1.5079557870722222e-05
Aef1	1.5246930075625402e-05
crp	1.549073825271421e-05
mei-P22	1.551793041964687e-05
CG14231	1.561117573290207e-05
Pepck	1.5639570123016963e-05
CG7275	1.587782318337233e-05
CG31917	1.5885792304638033e-05
CG1523	1.595172966684591e-05
Mcm7	1.599103505509381e-05
srl	1.60672678142442e-05
CG45087	1.632841330471967e-05
Aos1	1.6462267084013034e-05
fog	1.6463336246603028e-05
CG5742	1.6497740067779985e-05
Chrac-14	1.6530055114483164e-05
run	1.654147045422451e-05
eIF-2alpha	1.6992947563115408e-05
Spase12	1.7007888339596766e-05
RpL36A	1.7015176046851304e-05
veli	1.7144700495561493e-05
Sin1	1.7177502688789403e-05
CG8860	1.7351621070748263e-05
CG10306	1.7580305601076923e-05
Sry-alpha	1.783651733364954e-05
TfIIFalpha	1.799595567335024e-05
CG7878	1.8113617845235007e-05
Nak	1.83278332088923e-05
blw	1.8403165341463628e-05
Nxf3	1.843471916013595e-05
Fdh	1.8704466171198844e-05
CG6276	1.8749616605470523e-05
CG14516	1.8836878520281594e-05
CG30161	1.8882969047705577e-05
CG9951	1.9046687197449143e-05
Rgl	1.910453534567073e-05
SKIP	1.9309646956921664e-05
CG8258	1.9351850139291346e-05
nos	1.9358175856887693e-05
MED10	1.9498322663832212e-05
MFS10	1.9517206262499877e-05
GstE6	1.971489575562028e-05
RpS23	1.9748947340908977e-05
fabp	1.9796932182019836e-05
Su(fu)	2.021101973525739e-05
Galphai	2.0615789391132273e-05
Mlc-c	2.0938282837401813e-05
zen	2.1273982033755395e-05
Atg3	2.1427661095501703e-05
RpL39	2.1443727199017465e-05
mRpL53	2.1926831306646655e-05
halo	2.1938768783660354e-05
CG12736	2.215530897940308e-05
CG5642	2.236860839117469e-05
usp	2.2382788357302213e-05
CG11190	2.240855705282105e-05
Non3	2.2602519637398464e-05
CG5412	2.284754200000426e-05
borr	2.290942265916736e-05
Rpd3	2.29618692481929e-05
CG9107	2.3069506948559258e-05
ox	2.315666745341674e-05
CG15141	2.3421765859723687e-05
CG9945	2.3429551585100825e-05
CG12163	2.370307816021207e-05
CG12290	2.3820101755108773e-05
CG5261	2.3878180719989918e-05
CG3223	2.4009497090132935e-05
Nup50	2.408721523937652e-05
gammaCOP	2.4154603071881194e-05
YL-1	2.428016622596572e-05
CG5273	2.4379282530266026e-05
Uba2	2.440612998050245e-05
wcd	2.4432035066748688e-05
trbl	2.456603537814653e-05
CG5339	2.4578354598324517e-05
egg	2.466129337923052e-05
Cbp20	2.5029242421803267e-05
CG7766	2.5031003693392324e-05
CG10877	2.5151939965281012e-05
Sr-CII	2.5358949971071266e-05
CG17593	2.5682035308508845e-05
ppan	2.586237569333949e-05
MED7	2.6436925934816558e-05
mio	2.6661591993210693e-05
muskelin	2.669187581520831e-05
ptr	2.6857458534570055e-05
Sgt	2.6892472221892e-05
Aats-val	2.708008990277407e-05
CG10133	2.7126827642799768e-05
CG11382	2.7521538455358154e-05
MED9	2.762291819572384e-05
Gclc	2.7787113626788856e-05
fal	2.7889623568102383e-05
Arpc4	2.815503109117885e-05
CG17776	2.839038489660467e-05
grim	2.9000379321740536e-05
CG11577	2.9192114777902248e-05
CG12948	2.9203845090501726e-05
CG1529	2.9217882845930362e-05
RpII18	2.9300168072876435e-05
CG42762	2.97895997261972e-05
CG33303	2.9873235490651007e-05
CG5262	3.0032101037400258e-05
CG9350	3.003708537117768e-05
CG11808	3.0323396832505913e-05
CG5010	3.0370558813497522e-05
asparagine-synthetase	3.0806423923219576e-05
DnaJ-H	3.110991893172298e-05
CG7288	3.125663053438725e-05
Fip1	3.1278821857447157e-05
Rpb4	3.148673038785077e-05
Rsf1	3.193924432847732e-05
aurB	3.196983043545969e-05
TfIIFbeta	3.257002548688062e-05
CG5888	3.2704605064597645e-05
Sse	3.2975866118687894e-05
CG2453	3.30230350227167e-05
olf186-F	3.321016420332635e-05
CG5746	3.33688672954127e-05
RpS20	3.378788533190872e-05
vnd	3.396679157273364e-05
RpS18	3.403366524147813e-05
glec	3.417961550843471e-05
Mfap1	3.444807608642131e-05
Ppcs	3.471964045145687e-05
CG45100	3.505342521089432e-05
Prp31	3.53697235518077e-05
CG8004	3.5400564167902695e-05
MED20	3.555879377613758e-05
danr	3.557134127315502e-05
Spp	3.578938199651391e-05
Ubi-p5E	3.645366534211118e-05
dap	3.706006952319205e-05
CG15735	3.726984725911983e-05
CG3918	3.7533524566500075e-05
crok	3.836693649471032e-05
CG5532	3.9109284093263584e-05
CG5599	3.9129942624998853e-05
CG4364	3.915926760937103e-05
CG13601	3.948920741899235e-05
CR44718	3.9562578308744234e-05
TfIIA-S	3.976174376292921e-05
CG12420	3.9777978453125206e-05
thoc5	4.012420064135974e-05
CG30109	4.032311306669923e-05
CG7054	4.038593488853131e-05
CG15356	4.040599288324441e-05
Atx2	4.048867990596562e-05
CG4500	4.0597157142588836e-05
CG3831	4.0997528760016777e-05
pen	4.105888676031218e-05
CG12125	4.12286112876794e-05
E(spl)m8-HLH	4.13923533899716e-05
Snr1	4.16093977219175e-05
GstT2	4.190350199109062e-05
CG5913	4.1912192666034834e-05
HPS1	4.198709682749866e-05
wls	4.2370040207978056e-05
Reph	4.337259949753161e-05
CG2611	4.38579213486846e-05
prd	4.419068379589161e-05
CG9086	4.439263508988844e-05
CG8929	4.4484848099894176e-05
wun2	4.503940812901861e-05
CG7453	4.5042641259242857e-05
Cyp6v1	4.5948416462235724e-05
CG1847	4.606741758579998e-05
MED27	4.646942670003261e-05
CG5641	4.700915658095585e-05
tsu	4.7039865503081254e-05
Vha68-2	4.7310305467090946e-05
mir-4941	4.790523120438602e-05
CG1924	4.846766042160321e-05
CG3939	4.890364223547848e-05
mir-4971	4.943167616164309e-05
rush	4.971410021518518e-05
Als2	4.97578624338224e-05
CG4612	5.026151538183358e-05
ald	5.04616730828649e-05
CG5510	5.0647708213345436e-05
Blm	5.111402619307968e-05
NitFhit	5.145939832408364e-05
wapl	5.146670183395274e-05
bs	5.1597153037342e-05
CG13751	5.163061241887321e-05
CG17680	5.1892093664840116e-05
mei-218	5.2440467744895977e-05
Hdac3	5.276743482246344e-05
Cisd2	5.2899934250147794e-05
CG10222	5.319820707350648e-05
CG2260	5.352158298559414e-05
Prosbeta6	5.35719451107667e-05
CG11882	5.389745348138284e-05
Trc8	5.4220792802279025e-05
CG7889	5.4702715048990314e-05
Gnf1	5.5306840376031895e-05
ksr	5.5460038785990466e-05
Zip48C	5.5704039526737956e-05
Drice	5.62823930683716e-05
CG16815	5.640612262643492e-05
mRpL12	5.6438601660308784e-05
IntS4	5.677041767058713e-05
CG6028	5.709143113146607e-05
eIF3-S8	5.753951664892261e-05
SdhA	5.805109701951842e-05
Klp3A	5.831148684165161e-05
PrBP	5.897170555646227e-05
Nop56	5.938050332368844e-05
CG34200	6.002323148506545e-05
nudC	6.051194958099509e-05
CG14971	6.096080686807753e-05
eIF4AIII	6.109880903624004e-05
cbc	6.172970805511904e-05
CG8778	6.185459232176685e-05
CG10688	6.222477178082803e-05
CG10616	6.432876260095875e-05
CG7033	6.459786519454739e-05
CG5021	6.461134738187768e-05
CG4452	6.462171511138701e-05
Fim	6.504050331649314e-05
CG12400	6.507632930092613e-05
Hip14	6.542982052502634e-05
crn	6.586261594147656e-05
Hsp23	6.624073075923915e-05
phr6-4	6.625273942930198e-05
CG8435	6.652116907262249e-05
trbd	6.652518925542324e-05
cdi	6.792984075537334e-05
zpg	6.80649260807215e-05
CG42593	6.816420609061734e-05
CG17982	7.003627229886877e-05
CG4078	7.027467709265336e-05
Ada1-2	7.051768348288317e-05
vito	7.052214376215195e-05
CG7519	7.055004498679868e-05
Sep2	7.117349323271698e-05
CG8602	7.150480672806885e-05
Jwa	7.186497511355724e-05
CG7857	7.191104131796435e-05
mod(r)	7.205473279966682e-05
nmdyn-D6	7.226369441143559e-05
cbt	7.252001219453492e-05
Rpt6	7.27927137152602e-05
CG7845	7.321196191747493e-05
MED18	7.340497591372475e-05
CG2789	7.422484220236934e-05
CG1792	7.454880567031051e-05
CSN4	7.494371597491535e-05
S6kII	7.531152511482849e-05
CG10898	7.53433009257978e-05
CG17904	7.572622491926964e-05
RpII33	7.584841704115482e-05
RanGAP	7.620745712928282e-05
CG8209	7.63199424269223e-05
Pmi	7.677875673139946e-05
CR45559	7.752584048131687e-05
ImpE2	7.757301447537246e-05
Gbeta5	7.798873612129546e-05
PCID2	7.80360430874927e-05
bcd	7.824887413539425e-05
Tango10	7.827058607313408e-05
Ciao1	7.923900009279902e-05
Taf10	8.066739104029944e-05
srw	8.072544591651947e-05
noi	8.096448580068834e-05
eve	8.113747531675062e-05
GstS1	8.129585610451727e-05
CG30152	8.190298978023423e-05
CR44898	8.240210061578635e-05
CG1434	8.271672922598483e-05
CG8087	8.467139398421631e-05
Rpt5	8.510775783541524e-05
CG12018	8.528756331921453e-05
Ost48	8.557500807744085e-05
rept	8.56938548083035e-05
CG14683	8.577537576334271e-05
phyl	8.579361379048188e-05
CG11927	8.65109461848299e-05
CG10543	8.663678875131468e-05
CaBP1	8.727829820707984e-05
odd	8.735814259409823e-05
CG13366	8.819011126257522e-05
CG15432	8.89744674203633e-05
l(2)k12914	8.976000455856186e-05
rdx	9.014701859555007e-05
Edem2	9.14834038891062e-05
18w	9.164246111755175e-05
CTPsyn	9.184936177439163e-05
128up	9.199681436468454e-05
CG2812	9.208151803536688e-05
Hpr1	9.220718770652663e-05
SmF	9.234874273202077e-05
CG3032	9.29501362184284e-05
CG14036	9.319582384369763e-05
l(2)35Be	9.403445744093099e-05
CG10674	9.412203931485072e-05
CG7101	9.427159693186195e-05
RpL40	9.464496037855722e-05
SmD2	9.498667095766393e-05
CG15896	9.508513429823418e-05
Leash	9.517651558922473e-05
CG17122	9.555267237729318e-05
GC1	9.60459972819572e-05
ZnT86D	9.627399886919214e-05
CG11563	9.75212715132153e-05
wge	9.831482540594477e-05
CG12325	9.847928073260539e-05
snoRNA:Me28S-U2134a	9.889814043741728e-05
CG7772	9.974132541282793e-05
CG2662	0.00010010124464803598
CR44504	0.00010015274316500891
Pcmt	0.00010024494415995302
CG5056	0.00010054749198679122
CG44242	0.00010190255264516414
fax	0.00010198540018757327
CG43184	0.00010235584940050457
CG10777	0.00010288157526632503
mRpL21	0.00010319515704481513
pie	0.00010331775718069229
RpS25	0.00010335017522969362
CG5854	0.00010338938444205712
casp	0.00010339098944282452
NUCB1	0.00010415934098392205
CG8237	0.00010459665800849625
Non2	0.00010466169558092496
CR41501	0.0001048691552102145
Trf4-1	0.00010545127720994989
ImpL1	0.00010607850217304425
CG10139	0.00010634263085692577
CG5844	0.00010918858141393953
CG31224	0.00010927067623170764
mRpL51	0.00011087608169854935
Ranbp21	0.0001129587738703621
dnr1	0.0001132625288690535
cl	0.0001134188009335522
CG5181	0.0001147504905344133
CG34348	0.00011485112974168642
Slu7	0.00011579234642466064
CG1764	0.00011658090809061872
CrebB	0.00011662322224887208
Vha55	0.00011690960571257832
c12.1	0.0001172148651495772
Rca1	0.00011751266379267696
rump	0.0001195763164924669
